Word,Root,Gloss,Morphemes,Line Numbers
кымыскаяктар,кымыскаяк,ant,['ар (verbal noun)'],1379C
адыштап,адыш,clap,['тап (plural)'],1379C
халы,,,['ал (ability)'],1380C
тажып,та,discourse particle indicating uncertainty (in response to a question),['ып (circumstantial)'],1383C
дипти,дип,continental,['ти (past tense)'],1383C
мырыңай,,,"['ыр (verbal noun)', 'ың (posessive 2nd singular)']",1383C
чазыйты,чазый,greedy,['ты (past tense)'],1384C
берт,бе,mare,[],1385C
тайгаа,тайга,taiga,[],1385C
тергиин,тергиин,magnificent,[],1387C
арзыла,а,but,"['зы (verbalizer)', 'ла (verbalizer)']",1387C
зылаӊ,,,"['зы (verbalizer)', 'ла (verbalizer)']",1388C
четсе,че,okay,['се (verbalizer)'],1391C
айтыр,ай,"1. month, 2. moon",['тыр (causative)'],1393C
маңнаар,маңнаар,run,[],1395C
арзылаӊны,а,but,"['зы (verbalizer)', 'ла (verbalizer)', 'ны (accusative)']",1398C
чүвеол,чүве,stuff,[],1398C
тоолайны,тоолай,"hare, rabbit",['ны (accusative)'],"1399C, 1403C"
керги,,,"['кер (verbalizer)', 'ги (adjectival)']","1399C, 1403C"
кокпазы,кокпа,path,['зы (verbalizer)'],1399C
руткан,,,['кан (participle)'],1400C
хаактыӊ,хаак,ski,['ты (past tense)'],1400C
сивирткеш,,,"['си (verbalizer)', 'ир (participle)', 'кеш (circumstantial)']",1400C
тургузур,,,"['тур (evidential)', 'ур (aorist)']",1401C
өеэнге,,,"['эн (participle)', 'ге (dative)']",1402C
кадалып,када,wife of uncle on the paternal side,['ып (circumstantial)'],1402C
арзылауны,а,but,"['зы (verbalizer)', 'ла (verbalizer)', 'ны (accusative)']",1402C
үлегер,үлегер,model,[],1403C
утказы,утказы,"contents, sense, meaning",[],1403C
чугаалажыр,чугаалажыр,discuss,[],1404C
у,,,[],1405C
дистинчек,,,"['ди (past tense)', 'ин (reflexive)', 'чек (adjectival)']",1405C
баштак,баштак,joke,[],1405C
сергежигеш,серге,"goat, castrated",['жигеш (nominalizer)'],"1406C, 1421C, 1426C, 1433C, 1436C, 1517C"
тениӊ,тен,thorn,[],"1408C, 1545C"
дөжелип,,,"['же (allative)', 'ип (circumstantial)']",1409C
аштааны,аш,hunger,"['та (verbalizer)', 'ны (accusative)']",1410C
арнындан,а,but,['ындан (possessive 3rd ablative)'],1410C
илдеӊ,,,"['ил (passive)', 'де (verbalizer)']",1410C
могааны,,,"['га (dative)', 'ны (accusative)']",1410C
көскү,көскү,evident,[],1410C
шыжыкка,,,"['шы (verbalizer)', 'жык (resultative)', 'ка (dative)']",1410C
шырайындан,шырай,"face (e.g., human)",['ындан (possessive 3rd ablative)'],1411C
билдингир,билдингир,known,[],1411C
